Year,Denver,Philadelphia
1911,12672000,101177787
1912,10411000,68153060
1913,15804000,76532352
1914,1193000,75238432
1915,22050000,29092120
1916,35956000,131833677
1917,55120000,196429785
1918,47830000,288104634
1919,57154000,392021000
1920,49280000,310165000
1921,7160000,39157000
1923,0,74723000
1924,2520000,75178000
1925,22580000,139949000
1926,28020000,157088000
1927,27170000,144440000
1928,31170000,134116000
1929,41730000,185262000
1930,40100000,157415000
1931,4480000,19396000
1932,10500000,9062000
1933,6200000,14360000
1934,28446000,219080000
1935,47000000,245388000
1936,40620000,309637569
1937,50430000,309179320
1938,20010000,156696734
1939,15160000,316479520
1940,81390000,586825872
1941,128700000,887039100
1942,206698000,657828600
1943,0,0
1944,430578000,1435400000
1945,266268000,1040515000
1946,315690000,991655000
1947,194750000,190555000
1948,172637500,317570000
1949,153132500,217775000
1950,334950000,272686386
1951,625355000,284633500
1952,746130000,186856980
1953,700515000,256883800
1954,251552500,71873350
1955,563257500,330958200
1956,1098201100,421414384
1957,1051342000,283787952
1958,800953300,253400652
1959,1279760000,610864291
1960,1580884000,588096602
1961,1753266700,756373244
1962,1793148400,609263019
1963,1774020400,757185645
1964,3799071500,2652525762
1965,0,1497224900
1966,0,2188147783
1967,0,3048667100
1968,2886269600,1707880.97
1969,4002832200,1136910000
1970,2891438900,1898315000
1971,2911045600,1919490000
1972,2665071400,2933255000
1973,3549576588,3728245000
1974,4235098000,4232140523
1975,4505275300,5451476142
1976,4221592455,4674292426
1977,4194062300,4469930000
1978,4280233400,5558605000
1979,4139357254,6018515000
1980,5140098660,7414705000
1981,5373235677,7491750000
1982,6012979368,10712525000
1983,6467199428,7752355000
1984,5569238906,8151079000
1985,5287399926,5648489887
1986,4442866698,4491395493
1987,4879389514,4682466931
1988,5253740443,6092810000
1989,5345467111,7261535000
1990,4922894533,6851765000
1991,4158442076,5165940000
1992,4448673300,4648905000
1993,6426650571,5684705000
1994,7131765000,6500850000
1995,7128560000,6411400000
1996,6510795000,6612465000
1997,4576555000,4622800000
1998,5225353500,5032155000
1999,6360065000,5237600000
2000,8774220000,5503200000
2001,5374990000,4959600000
2002,4028055000,3260800000
2003,3548000000,3300000000
2004,3456400000,3379600000
2005,3764450000,3935600000
2006,3944000000,4290000000
2007,3638800000,3762400000
2008,2849600000,2558800000
2009,1247600000,1106400000
2010,615600000,650430000
2011,2536140000,2402400000
2012,2883200000,3132000000