Year,All_Marks,Denver,Philadelphia
2013,0,0,0
2012,2,1,1
2011,9,2,7
2010,2,1,1
2009,2,0,2
2008,26,4,22
2007,22,6,16
2006,18,2,16
2005,43,9,34
2004,13,3,10
2003,18,10,8
2002,23,4,19
2001,18,7,11
2000,47,15,32
1999,31,9,22
1998,35,3,32
1997,33,5,28
1996,29,6,23
1995,29,7,22
1994,35,6,29
1993,29,7,22
1992,21,3,18
1991,16,3,13
1990,31,5,26
1989,28,7,21
1988,25,4,21
1987,16,2,14
1986,25,3,22
1985,30,4,26
1984,26,7,19
1983,31,7,24
1982,41,1,40
1981,24,7,17
1980,21,3,18
1979,14,2,12
1978,21,4,17
1977,16,5,11
1976,23,4,19
1975,19,4,15
1974,12,0,12
1973,15,4,11
1972,17,5,12
1971,9,2,7
1970,11,2,9
1969,4,4,0
1968,3,0,3
1967,3,0,3
1966,1,0,1
1965,0,0,0
1964,6,3,3
1963,2,0,2
1962,10,3,7
1961,8,3,5
1960,3,1,2
1959,5,0,5
1958,0,0,0
1957,0,0,0
1956,0,0,0
1955,0,0,0
1954,0,0,0
1953,0,0,0
1952,0,0,0
1951,0,0,0
1950,0,0,0
1949,0,0,0
1948,0,0,0
1947,0,0,0
1946,0,0,0
1945,2,0,2
1944,0,0,0
1943,0,0,0
1942,0,0,0
1941,0,0,0
1940,0,0,0
1939,0,0,0
1938,0,0,0
1937,1,0,1
1936,0,0,0
1935,0,0,0
1934,0,0,0
1933,0,0,0
1932,0,0,0
1931,0,0,0
1930,0,0,0